Country Name	Country Code	Indicator Name	2014
Aruba	ABW	GDP growth (annual %)	
Afghanistan	AFG	GDP growth (annual %)	1.312530908
Angola	AGO	GDP growth (annual %)	4.804472704
Albania	ALB	GDP growth (annual %)	1.799999998
Andorra	AND	GDP growth (annual %)	
Arab World	ARB	GDP growth (annual %)	2.911346202
United Arab Emirates	ARE	GDP growth (annual %)	3.284926134
Argentina	ARG	GDP growth (annual %)	-2.512615321
Armenia	ARM	GDP growth (annual %)	3.600000001
American Samoa	ASM	GDP growth (annual %)	1.424050633
Antigua and Barbuda	ATG	GDP growth (annual %)	4.602793308
Australia	AUS	GDP growth (annual %)	2.60945748
Austria	AUT	GDP growth (annual %)	0.644844832
Azerbaijan	AZE	GDP growth (annual %)	2
Burundi	BDI	GDP growth (annual %)	4.660918184
Belgium	BEL	GDP growth (annual %)	1.646183423
Benin	BEN	GDP growth (annual %)	6.357520953
Burkina Faso	BFA	GDP growth (annual %)	4.185944746
Bangladesh	BGD	GDP growth (annual %)	6.061093054
Bulgaria	BGR	GDP growth (annual %)	1.328849722
Bahrain	BHR	GDP growth (annual %)	4.34984233
"Bahamas, The"	BHS	GDP growth (annual %)	-0.527240773
Bosnia and Herzegovina	BIH	GDP growth (annual %)	1.08187567
Belarus	BLR	GDP growth (annual %)	1.723086003
Belize	BLZ	GDP growth (annual %)	4.081034021
Bermuda	BMU	GDP growth (annual %)	
Bolivia	BOL	GDP growth (annual %)	5.460569752
Brazil	BRA	GDP growth (annual %)	0.503961791
Barbados	BRB	GDP growth (annual %)	0.063154096
Brunei Darussalam	BRN	GDP growth (annual %)	-2.34974675
Bhutan	BTN	GDP growth (annual %)	5.745455168
Botswana	BWA	GDP growth (annual %)	4.149252734
Central African Republic	CAF	GDP growth (annual %)	1.040018047
Canada	CAN	GDP growth (annual %)	2.565299274
Central Europe and the Baltics	CEB	GDP growth (annual %)	2.934447459
Switzerland	CHE	GDP growth (annual %)	1.996886159
Channel Islands	CHI	GDP growth (annual %)	
Chile	CHL	GDP growth (annual %)	1.909693358
China	CHN	GDP growth (annual %)	7.297665959
Cote d'Ivoire	CIV	GDP growth (annual %)	8.79407739
Cameroon	CMR	GDP growth (annual %)	5.926964959
"Congo, Dem. Rep."	COD	GDP growth (annual %)	9.509963565
