Country Name	Country Code	Indicator Name	2014
Aruba	ABW	GDP (current US$)	
Afghanistan	AFG	GDP (current US$)	20050189882
Angola	AGO	GDP (current US$)	1.26777E+11
Albania	ALB	GDP (current US$)	13219857459
Andorra	AND	GDP (current US$)	
Arab World	ARB	GDP (current US$)	2.9044E+12
United Arab Emirates	ARE	GDP (current US$)	4.03198E+11
Argentina	ARG	GDP (current US$)	5.2632E+11
Armenia	ARM	GDP (current US$)	11609512940
American Samoa	ASM	GDP (current US$)	638000000
Antigua and Barbuda	ATG	GDP (current US$)	1274330333
Australia	AUS	GDP (current US$)	1.4596E+12
Austria	AUT	GDP (current US$)	4.38376E+11
Azerbaijan	AZE	GDP (current US$)	75244166773
Burundi	BDI	GDP (current US$)	3093647227
Belgium	BEL	GDP (current US$)	5.31751E+11
Benin	BEN	GDP (current US$)	9707432016
Burkina Faso	BFA	GDP (current US$)	12400688571
Bangladesh	BGD	GDP (current US$)	1.72885E+11
Bulgaria	BGR	GDP (current US$)	56732006512
Bahrain	BHR	GDP (current US$)	33387712766
"Bahamas, The"	BHS	GDP (current US$)	8618000000
Bosnia and Herzegovina	BIH	GDP (current US$)	18521475376
Belarus	BLR	GDP (current US$)	78813049850
Belize	BLZ	GDP (current US$)	1706497950
Bermuda	BMU	GDP (current US$)	
Bolivia	BOL	GDP (current US$)	32996187988
Brazil	BRA	GDP (current US$)	2.45599E+12
Barbados	BRB	GDP (current US$)	4352700000
Brunei Darussalam	BRN	GDP (current US$)	17123125493
Bhutan	BTN	GDP (current US$)	1958819915
Botswana	BWA	GDP (current US$)	16259445050
Central African Republic	CAF	GDP (current US$)	1702898940
Canada	CAN	GDP (current US$)	1.79288E+12
Central Europe and the Baltics	CEB	GDP (current US$)	1.46197E+12
Switzerland	CHE	GDP (current US$)	7.02706E+11
Channel Islands	CHI	GDP (current US$)	
Chile	CHL	GDP (current US$)	2.6099E+11
China	CHN	GDP (current US$)	1.04824E+13
Cote d'Ivoire	CIV	GDP (current US$)	35372603446
Cameroon	CMR	GDP (current US$)	32050817633
"Congo, Dem. Rep."	COD	GDP (current US$)	34028119333
"Congo, Rep."	COG	GDP (current US$)	14177437627
Colombia	COL	GDP (current US$)	3.78196E+11
Comoros	COM	GDP (current US$)	647720707.1
Cabo Verde	CPV	GDP (current US$)	1858121723
Costa Rica	CRI	GDP (current US$)	50656002896
Caribbean small states	CSS	GDP (current US$)	68744227742
Cuba	CUB	GDP (current US$)	80656100000
Curacao	CUW	GDP (current US$)	
Cayman Islands	CYM	GDP (current US$)	
Cyprus	CYP	GDP (current US$)	23308212817
Czech Republic	CZE	GDP (current US$)	2.07818E+11
Germany	DEU	GDP (current US$)	3.87928E+12
Djibouti	DJI	GDP (current US$)	1588000000
Dominica	DMA	GDP (current US$)	528178703.7
Denmark	DNK	GDP (current US$)	3.52297E+11
Dominican Republic	DOM	GDP (current US$)	65231032303
Algeria	DZA	GDP (current US$)	2.13983E+11
East Asia & Pacific (excluding high income)	EAP	GDP (current US$)	1.27481E+13
Early-demographic dividend	EAR	GDP (current US$)	1.041E+13
East Asia & Pacific	EAS	GDP (current US$)	2.18941E+13
Europe & Central Asia (excluding high income)	ECA	GDP (current US$)	4.0788E+12
Europe & Central Asia	ECS	GDP (current US$)	2.36026E+13
Ecuador	ECU	GDP (current US$)	1.02292E+11
"Egypt, Arab Rep."	EGY	GDP (current US$)	3.0553E+11
Euro area	EMU	GDP (current US$)	1.34577E+13
Eritrea	ERI	GDP (current US$)	
Spain	ESP	GDP (current US$)	1.37586E+12
Estonia	EST	GDP (current US$)	26213940387
