STN,date,   ave_temp,   min_temp,   max_temp
  260,19620101,    5,  -30,   26
  260,19620102,  -19,  -62,   28
  260,19620103,  -25,  -62,    4
  260,19620104,    0,  -12,   14
  260,19620105,   -8,  -20,   20
  260,19620106,   24,    1,   52
  260,19620107,   30,   -6,   57
  260,19620108,   38,    4,   61
  260,19620109,   44,   24,   66
  260,19620110,   55,   34,   68
  260,19620111,   81,   51,  103
  260,19620112,   52,   31,   85
  260,19620113,   38,   17,   54
  260,19620114,   39,   23,   55
  260,19620115,   23,    6,   52
  260,19620116,   51,   34,   62
  260,19620117,   70,   51,   95
  260,19620118,   61,   27,   87
  260,19620119,   54,   34,   81
  260,19620120,   66,   22,   92
  260,19620121,   98,   88,  110
  260,19620122,   64,   35,   89
  260,19620123,   51,   39,   68
  260,19620124,   80,   36,  107
  260,19620125,   76,   63,   88
  260,19620126,   67,   28,   96
  260,19620127,   37,   16,   78
  260,19620128,   29,  -19,   72
  260,19620129,  -28,  -64,   10
  260,19620130,  -53,  -83,  -12
  260,19620131,  -26,  -68,    4
  260,19620201,    5,  -24,   56
  260,19620202,   16,  -10,   57
  260,19620203,   15,  -29,   35
  260,19620204,   39,    9,   67
  260,19620205,   62,   29,   90
  260,19620206,   58,   22,   88
  260,19620207,   74,   52,   85
  260,19620208,   40,    0,   68
  260,19620209,   24,  -15,   65
  260,19620210,   41,   25,   66
  260,19620211,   42,    5,   67
  260,19620212,   75,   42,  101
  260,19620213,   26,    3,   57
  260,19620214,   17,   -9,   56
  260,19620215,   20,  -17,   66
  260,19620216,   73,   49,   93
  260,19620217,   44,   26,   67
  260,19620218,   47,   15,   68
  260,19620219,   60,   50,   71
  260,19620220,   63,   33,  100
  260,19620221,   44,   -5,   83
  260,19620222,   -3,  -22,   29
  260,19620223,  -11,  -28,   10
  260,19620224,   -9,  -52,   33
  260,19620225,  -29,  -53,    0
  260,19620226,  -30,  -54,   -7
  260,19620227,  -14,  -31,    7
  260,19620228,   -4,  -20,    9
  260,19620301,   -1,  -10,   13
  260,19620302,   -4,  -37,   26
  260,19620303,   -5,  -38,   16
  260,19620304,   -7,  -54,   38
  260,19620305,    0,  -13,   13
  260,19620306,   -2,  -46,   48
  260,19620307,   -6,  -60,   47
  260,19620308,   23,  -18,   68
  260,19620309,   42,   10,   92
  260,19620310,   63,   34,   86
  260,19620311,   41,   12,   59
  260,19620312,    5,  -32,   44
  260,19620313,  -18,  -37,    8
  260,19620314,  -15,  -97,   36
  260,19620315,    0,  -41,   52
  260,19620316,   -6,  -57,   39
  260,19620317,    4,  -37,   45
  260,19620318,   16,  -12,   47
  260,19620319,   11,  -37,   62
  260,19620320,   16,  -40,   67
  260,19620321,   22,   -5,   49
  260,19620322,   25,  -18,   66
  260,19620323,   34,    7,   69
  260,19620324,   19,  -13,   56
  260,19620325,   21,  -33,   60
  260,19620326,   32,    4,   61
  260,19620327,   54,   39,   74
  260,19620328,   43,   15,   78
  260,19620329,   66,   20,  106
  260,19620330,   87,   45,  118
  260,19620331,   52,   24,   97
  260,19620401,   57,   27,   96
  260,19620402,   64,   31,   86
  260,19620403,   79,   54,  106
  260,19620404,   65,   49,  102
  260,19620405,   56,   47,   66
  260,19620406,   56,   24,   90
  260,19620407,   65,   24,  102
  260,19620408,   71,   36,   98
  260,19620409,   50,    6,   78
  260,19620410,   58,    6,   98
  260,19620411,   80,   48,  110
  260,19620412,   72,   16,  116
  260,19620413,   46,    7,   98
  260,19620414,   58,   31,   88
  260,19620415,   57,   29,   87
  260,19620416,   66,   49,   90
  260,19620417,   85,   19,  140
  260,19620418,  128,   64,  213
  260,19620419,  111,   84,  149
  260,19620420,  114,   62,  160
  260,19620421,  142,   47,  210
  260,19620422,  121,   68,  148
  260,19620423,  113,   66,  159
  260,19620424,  125,   70,  201
