STN,YYYYMMDD,   Gemiddelde temperatuur,   Minimum temperatuur,   Maximum temperatuur
  380,19940101,   27,    5,   43
  380,19940102,   60,   23,   87
  380,19940103,   71,   52,   91
  380,19940104,   61,   44,   82
  380,19940105,   59,   35,   83
  380,19940106,   69,   56,   87
  380,19940107,   42,   21,   56
  380,19940108,   23,  -11,   48
  380,19940109,   17,  -26,   53
  380,19940110,   35,    1,   79
  380,19940111,   52,   29,   72
  380,19940112,   88,   58,  129
  380,19940113,   93,   65,  129
  380,19940114,   64,   48,   80
  380,19940115,   39,    3,   65
  380,19940116,   12,  -13,   39
  380,19940117,  -19,  -28,  -11
  380,19940118,    5,  -21,   29
  380,19940119,    6,   -4,   18
  380,19940120,    9,   -7,   24
  380,19940121,   30,   14,   41
  380,19940122,   56,   41,   75
  380,19940123,   74,   40,   99
  380,19940124,   49,   33,   64
  380,19940125,   88,   57,  102
  380,19940126,   55,   38,   72
  380,19940127,   81,   32,  104
  380,19940128,   26,   -7,   55
  380,19940129,   21,   -6,   65
  380,19940130,   59,   36,   73
  380,19940131,   42,   10,   68
  380,19940201,   46,   33,   70
  380,19940202,   43,   22,   70
  380,19940203,   38,    6,   74
  380,19940204,   66,   42,   96
  380,19940205,   49,   31,   69
  380,19940206,   43,    2,   70
  380,19940207,   40,    0,   79
  380,19940208,   36,   13,   54
  380,19940209,   41,    8,   57
  380,19940210,   45,   31,   61
  380,19940211,   29,   19,   43
  380,19940212,   10,  -10,   33
  380,19940213,  -31,  -80,    3
  380,19940214,  -41,  -82,   -7
  380,19940215,   -4,  -38,   34
  380,19940216,    4,  -43,   44
  380,19940217,  -16,  -58,   31
  380,19940218,   -6,  -48,   44
  380,19940219,  -17,  -64,   47
  380,19940220,  -52,  -82,  -24
  380,19940221,  -42, -103,   12
  380,19940222,  -13,  -55,    9
  380,19940223,   19,  -16,   50
  380,19940224,   50,   17,   79
  380,19940225,   21,    7,   50
  380,19940226,   91,   30,  133
  380,19940227,  109,   82,  134
  380,19940228,   90,   63,  135
  380,19940301,   68,   18,   92
  380,19940302,   52,   18,   87
  380,19940303,   58,   21,   99
  380,19940304,   58,   10,  106
  380,19940305,   86,    8,  154
  380,19940306,   67,   25,   94
  380,19940307,   81,   64,   98
  380,19940308,  107,   91,  122
  380,19940309,  113,   86,  157
  380,19940310,   80,   19,  116
  380,19940311,   68,    1,  128
  380,19940312,   68,   51,   97
  380,19940313,   80,   58,  108
  380,19940314,   85,   45,  107
  380,19940315,   83,   48,   99
  380,19940316,   52,   16,   83
  380,19940317,   40,   17,   69
  380,19940318,   55,   21,   82
  380,19940319,   58,   25,   85
  380,19940320,   45,   13,   79
  380,19940321,   46,    3,   94
  380,19940322,   56,  -16,   98
  380,19940323,  108,   87,  133
  380,19940324,  101,   75,  137
  380,19940325,   99,   59,  123
  380,19940326,   50,   16,   85
  380,19940327,   42,  -18,   93
  380,19940328,   96,   31,  133
  380,19940329,  122,   96,  151
  380,19940330,  148,   85,  199
  380,19940331,  119,   71,  170
  380,19940401,   88,   55,  134
  380,19940402,   47,   16,   87
  380,19940403,   52,   21,   87
  380,19940404,   55,   10,  128
  380,19940405,   40,   14,   91
  380,19940406,   45,   13,   94
  380,19940407,   58,    3,   97
  380,19940408,   66,   38,   95
  380,19940409,   32,   -3,   85
  380,19940410,   49,   -1,   89
  380,19940411,   72,   50,   96
  380,19940412,   69,   44,   87
  380,19940413,   81,   48,  123
  380,19940414,   53,   27,   92
  380,19940415,   63,   27,  109
  380,19940416,   99,   57,  146
  380,19940417,   72,   45,  114
  380,19940418,   61,   29,  109
  380,19940419,   63,    2,  121
  380,19940420,   91,   29,  141
  380,19940421,  106,   62,  151
  380,19940422,  130,   57,  195
  380,19940423,  153,   90,  216
  380,19940424,  136,   91,  205
  380,19940425,  100,   54,  137
  380,19940426,  110,   49,  139
  380,19940427,  142,  118,  171
  380,19940428,  155,  110,  202
  380,19940429,  167,   81,  230
  380,19940430,  158,   70,  222
  380,19940501,   92,   41,  138
  380,19940502,   95,   15,  162
  380,19940503,  147,   47,  224
  380,19940504,  118,   80,  160
  380,19940505,  103,   72,  144
  380,19940506,  120,   84,  146
  380,19940507,  169,  121,  229
  380,19940508,  119,   90,  154
  380,19940509,  103,   82,  136
  380,19940510,  104,   75,  136
  380,19940511,  150,   78,  206
  380,19940512,  154,  100,  211
  380,19940513,  149,   76,  215
  380,19940514,  155,  114,  219
  380,19940515,  165,  124,  212
  380,19940516,  156,  101,  210
  380,19940517,  148,   98,  198
  380,19940518,  145,   85,  209
  380,19940519,  119,   91,  157
  380,19940520,  124,   75,  157
  380,19940521,  141,   99,  181
  380,19940522,  143,  112,  196
  380,19940523,  139,   89,  194
  380,19940524,  142,   77,  189
